,update_time,publish_time,authors,journal_ref,doi,primary_category,categories,entry_id,version
46,2013-06-27 06:04:17+00:00,2013-02-04 09:09:38+00:00,"['Chun-Ho Ng', 'Patrick P. C. Lee']",,,cs.DC,"['cs.DC', 'cs.OS']",1302.0621,3
47,2019-08-20 18:53:28+00:00,2018-01-28 17:09:14+00:00,['Gregory Michael Price'],,,cs.OS,"['cs.OS', 'cs.CR']",1801.09250,3
48,2020-02-12 10:51:12+00:00,2019-05-30 11:37:37+00:00,"['Anirban Chakraborty', 'Sarani Bhattacharya', 'Sayandeep Saha', 'Debdeep Mukhopadhyay']",,,cs.CR,"['cs.CR', 'cs.OS']",1905.12974,3
49,2021-05-20 15:45:04+00:00,2020-11-03 17:40:36+00:00,['Butler Lampson'],,,cs.DC,"['cs.DC', 'cs.OS', 'cs.SE']",2011.02455,3
50,2021-07-21 21:36:31+00:00,2020-05-06 01:07:29+00:00,"['Duo Zhang', 'Om Rameshwar Gatla', 'Runzhou Han', 'Mai Zheng']",,,cs.OS,['cs.OS'],2005.02547,2
51,2020-06-16 08:32:14+00:00,2020-06-12 13:21:59+00:00,"['Mina Sedaghat', 'Pontus Sköldström', 'Daniel Turull', 'Vinay Yadhav', 'Joacim Halén', 'Madhubala Ganesan', 'Amardeep Mehta', 'Wolfgang John']",,,cs.DC,"['cs.DC', 'cs.MA', 'cs.OS', 'D.4.7; D.4.8; D.4.1; D.4.3; D.4.4; F.1.2']",2006.07163,2
52,2012-02-17 20:40:00+00:00,2011-12-19 20:07:54+00:00,['Abhijat Vichare'],,,cs.OS,"['cs.OS', 'D.4.7']",1112.4451,2
53,2022-06-20 12:42:32+00:00,2021-04-13 17:23:21+00:00,"['Junjie Shi', 'Jan Duy Thien Pham', 'Malte Münch', 'Jan Viktor Hafemeister', 'Jian-Jia Chen', 'Kuan-Hsun Chen']",,,cs.OS,['cs.OS'],2104.06366,2
54,2012-06-02 15:56:26+00:00,2012-02-23 20:12:00+00:00,"['Mohammad Iftekhar Husain', 'Lokesh Mandvekar', 'Chunming Qiao', 'Ramalingam Sridhar']",,,cs.CR,"['cs.CR', 'cs.OS']",1202.5282,2
55,2020-05-01 21:24:00+00:00,2020-03-10 22:51:16+00:00,"['Dave Dice', 'Alex Kogan']",,,cs.OS,['cs.OS'],2003.05025,2
56,2020-04-08 17:05:35+00:00,2020-04-07 10:33:37+00:00,"['Christian Hakert', 'Kuan-Hsun Chen', 'Paul R. Genssler', 'Georg von der Brüggen', 'Lars Bauer', 'Hussam Amrouch', 'Jian-Jia Chen', 'Jörg Henkel']",,,cs.OS,"['cs.OS', 'cs.AR']",2004.03244,2
57,2020-12-09 08:15:30+00:00,2020-11-24 11:46:00+00:00,"['Koen Zandberg', 'Emmanuel Baccelli']",In proceedings of IFIP/IEEE PEMWN 2020,,cs.NI,"['cs.NI', 'cs.OS']",2011.12047,2
58,2021-08-16 16:24:21+00:00,2021-03-27 17:44:29+00:00,"['Bruno Sá', 'José Martins', 'Sandro Pinto']",,,cs.AR,"['cs.AR', 'cs.OS']",2103.14951,2
59,2011-07-12 08:46:58+00:00,2011-07-11 11:51:06+00:00,"['Qi Guo', 'Yunji Chen', 'Tianshi chen', 'Ling Li']",,,cs.PL,"['cs.PL', 'cs.OS']",1107.2003,2
60,2016-05-30 13:35:25+00:00,2015-04-27 13:08:26+00:00,"['Weiyi Wu', 'Bryan Ford']",,,cs.OS,['cs.OS'],1504.07070,2
